Course Short Name,Start Month,Course Flight Hours,E2E Course Days,Course Count
2 Private,9.0,67.7,188,7
2 Private,9.0,43.9,91,4
2 Private,9.0,54.0,120,6
2 Private,9.0,55.2,105,4
2 Private,9.0,62.9,156,7
2 Private,9.0,54.1,106,4
2 Private,9.0,82.1,181,6
2 Private,9.0,64.2,169,7
2 Private,10.0,61.0,154,6
2 Private,10.0,83.2,303,4
2 Private,10.0,55.4,122,3
2 Private,10.0,60.5,121,7
2 Private,11.0,58.7,234,3
2 Private,11.0,60.6,126,4
2 Private,11.0,58.1,155,7
2 Private,12.0,55.8,136,6
2 Private,12.0,69.7,125,7
2 Private,12.0,64.1,165,6
2 Private,12.0,43.5,120,6
2 Private,12.0,53.2,113,7
2 Private,12.0,66.6,240,6
2 Private,12.0,53.8,127,7
2 Private,12.0,66.5,191,5
2 Private,12.0,78.2,182,7
2 Private,12.0,58.2,135,5
2 Private,12.0,39.8,98,6
2 Private,2.0,78.9,180,6
2 Private,2.0,57.4,119,6
2 Private,2.0,45.8,66,6
2 Private,3.0,39.1,119,6
2 Private,3.0,51.4,150,2
2 Private,3.0,79.8,290,6
2 Private,3.0,92.7,214,6
2 Private,3.0,98.9,225,6
2 Private,3.0,44.3,144,6
2 Private,4.0,47.3,63,6
2 Private,4.0,57.0,132,6
2 Private,4.0,58.6,117,7
2 Private,4.0,43.8,114,6
2 Private,4.0,82.8,157,1
2 Private,4.0,47.6,126,6
2 Private,4.0,49.6,124,7
2 Private,4.0,43.2,83,6
2 Private,4.0,54.3,151,1
2 Private,4.0,60.9,162,1
2 Private,4.0,68.1,141,5
2 Private,5.0,41.3,62,6
2 Private,5.0,56.0,135,5
2 Private,5.0,52.5,101,2
2 Private,5.0,50.2,121,3
2 Private,5.0,47.8,88,6
2 Private,5.0,81.0,172,6
2 Private,5.0,37.4,88,5
2 Private,6.0,55.8,169,4
2 Private,6.0,76.0,131,6
2 Private,6.0,66.6,169,1
2 Private,6.0,54.6,82,4
2 Private,6.0,65.3,176,4
2 Private,6.0,77.5,189,6
2 Private,6.0,61.4,158,5
2 Private,6.0,85.7,407,3
2 Private,7.0,115.0,486,1
2 Private,7.0,49.8,73,6
2 Private,7.0,77.1,127,6
2 Private,7.0,68.7,112,3
2 Private,7.0,77.2,140,5
2 Private,7.0,51.3,84,6
2 Private,7.0,67.4,132,6
2 Private,7.0,100.1,415,3
2 Private,7.0,71.5,198,4
2 Private,8.0,66.8,149,5
2 Private,8.0,64.2,206,2
2 Private,8.0,100.4,304,3
2 Private,8.0,72.0,111,6
2 Private,8.0,101.7,296,1
2 Private,8.0,100.6,358,3
2 Private,8.0,76.4,193,3
2 Private,8.0,86.0,349,3
2 Private,8.0,68.9,184,4
2 Private,8.0,107.7,365,3
2 Private,8.0,94.7,358,2
2 Private,8.0,97.5,342,1
2 Private,8.0,61.0,144,3
2 Private,8.0,69.5,138,6
2 Private,8.0,107.7,407,1
2 Private,8.0,76.5,198,3
2 Private,8.0,94.0,295,3
2 Private,8.0,69.4,184,2
2 Private,8.0,88.9,315,3
2 Private,8.0,75.2,344,2
2 Private,8.0,97.8,342,4
2 Private,8.0,83.2,298,4
2 Private,8.0,78.6,195,6
2 Private,8.0,81.4,190,6
2 Private,8.0,59.3,303,3
2 Private,9.0,83.9,298,2
2 Private,9.0,128.9,550,1
2 Private,9.0,62.1,139,2
2 Private,9.0,81.5,281,5
2 Private,9.0,70.4,189,6
2 Private,9.0,99.9,286,1
2 Private,9.0,99.7,315,3
2 Private,9.0,110.7,498,2
2 Private,9.0,79.6,301,4
2 Private,9.0,80.4,277,1
2 Private,9.0,94.8,322,3
2 Private,9.0,58.9,133,4
2 Private,9.0,82.8,300,4
2 Private,9.0,105.4,324,3
2 Private,9.0,99.7,500,1
2 Private,10.0,60.3,268,2
2 Private,10.0,74.2,232,5
2 Private,10.0,74.3,296,4
2 Private,10.0,99.8,329,2
2 Private,10.0,78.1,242,6
2 Private,10.0,71.8,240,3
2 Private,10.0,71.1,229,3
2 Private,10.0,91.0,352,3
2 Private,10.0,68.1,252,3
2 Private,10.0,78.7,254,3
2 Private,10.0,104.4,312,4
2 Private,10.0,72.4,243,2
2 Private,10.0,98.1,303,2
2 Private,10.0,74.9,508,3
2 Private,11.0,63.4,219,6
2 Private,10.0,72.4,294,3
2 Private,11.0,74.0,234,3
2 Private,11.0,95.5,315,4
2 Private,11.0,84.5,222,4
2 Private,11.0,75.0,205,3
2 Private,11.0,87.0,309,2
2 Private,11.0,74.0,225,6
2 Private,11.0,77.7,223,3
2 Private,11.0,98.0,368,2
2 Private,11.0,78.4,240,4
2 Private,11.0,67.8,200,2
2 Private,12.0,65.4,289,2
2 Private,12.0,63.8,279,2
2 Private,12.0,63.0,251,6
2 Private,12.0,102.3,581,1
2 Private,12.0,71.7,321,3
2 Private,12.0,98.9,253,4
2 Private,12.0,71.8,237,4
2 Private,12.0,88.3,283,2
2 Private,12.0,106.5,585,1
2 Private,12.0,100.5,477,1
2 Private,12.0,100.9,258,3
2 Private,1.0,63.3,162,5
2 Private,12.0,46.4,157,6
2 Private,12.0,71.3,266,2
2 Private,12.0,121.5,492,2
2 Private,12.0,45.4,234,3
2 Private,12.0,61.4,171,6
2 Private,12.0,67.3,177,6
2 Private,12.0,75.9,266,4
2 Private,12.0,55.5,213,3
2 Private,12.0,77.6,441,1
2 Private,12.0,96.4,256,3
2 Private,12.0,101.2,409,2
2 Private,12.0,76.7,399,2
2 Private,12.0,73.2,224,3
2 Private,12.0,73.5,282,4
2 Private,12.0,75.8,262,4
2 Private,2.0,85.5,202,5
2 Private,2.0,116.4,500,1
2 Private,2.0,106.5,315,3
2 Private,2.0,65.3,256,3
2 Private,2.0,83.3,411,2
2 Private,2.0,99.1,429,2
2 Private,2.0,64.1,232,2
2 Private,2.0,88.4,232,6
2 Private,2.0,78.4,184,6
2 Private,2.0,82.3,192,6
2 Private,2.0,52.9,205,3
2 Private,2.0,65.5,176,4
2 Private,2.0,56.8,239,4
2 Private,2.0,78.4,214,6
2 Private,2.0,109.1,284,4
2 Private,2.0,70.1,194,5
2 Private,3.0,113.1,383,2
2 Private,3.0,86.2,218,2
2 Private,3.0,68.7,189,6
2 Private,3.0,78.3,202,6
2 Private,3.0,59.6,206,3
2 Private,3.0,128.7,498,1
2 Private,3.0,86.7,276,2
2 Private,3.0,98.2,342,2
2 Private,3.0,59.4,163,5
2 Private,3.0,83.7,219,4
2 Private,3.0,63.9,220,2
2 Private,3.0,85.7,294,2
2 Private,7.0,54.5,78,6
2 Private,7.0,61.8,106,4
2 Private,7.0,66.8,119,4
2 Private,8.0,86.6,269,2
2 Private,8.0,48.2,95,6
2 Private,8.0,61.3,123,3
