Person Id,Course Short Name,Course Start Date,Course End Date,Course Flight Hours,E2E Course Days
538110,2 Private,09/05/2018,03/12/2019,67.7,188
538110,3 Inst,03/22/2019,06/18/2019,30.4,88
538110,4 Com Sgl,07/02/2019,12/11/2019,127.9,162
538110,5 Com Mul,02/24/2021,05/25/2021,21.4,90
538110,6 CFI,12/16/2019,02/20/2020,13.6,66
538110,8 CFII,10/01/2020,02/23/2021,17.6,145
538110,9 MEI,06/01/2021,09/23/2021,29.2,114
538111,1 Intro,09/03/2018,10/08/2018,8.2,35
538407,2 Private,09/05/2018,12/05/2018,43.9,91
538407,3 Inst,12/11/2018,03/19/2019,39.7,98
538407,4 Com Sgl,03/28/2019,11/08/2019,134.8,225
538407,5 Com Mul,11/13/2019,01/20/2020,18.5,68
538408,1 Intro,09/06/2018,09/27/2018,16.8,21
538408,3 Inst,09/05/2018,02/09/2019,51.9,157
538408,4 Com Sgl,02/15/2019,07/24/2019,120.1,159
538408,5 Com Mul,01/30/2020,05/27/2020,15.7,118
538408,8 CFII,10/14/2019,11/13/2019,6.0,30
538409,2 Private,09/05/2018,01/03/2019,54.0,120
538409,3 Inst,01/04/2019,04/11/2019,37.9,97
538409,4 Com Sgl,04/22/2019,09/16/2019,121.0,147
538409,5 Com Mul,06/23/2020,09/15/2020,14.4,84
538409,6 CFI,10/07/2019,01/02/2020,5.2,87
538409,8 CFII,02/06/2020,05/23/2020,8.6,107
538410,2 Private,09/05/2018,12/19/2018,55.2,105
538410,3 Inst,01/14/2019,03/21/2019,33.7,66
538410,4 Com Sgl,03/22/2019,06/13/2019,113.3,83
538410,5 Com Mul,01/02/2020,05/30/2020,19.7,149
538411,2 Private,09/05/2018,02/08/2019,62.9,156
538411,3 Inst,02/22/2019,05/21/2019,37.9,88
538411,4 Com Sgl,06/12/2019,12/21/2019,131.3,192
538411,5 Com Mul,01/29/2021,04/14/2021,20.1,75
538411,6 CFI,01/17/2020,06/29/2020,14.4,164
538411,8 CFII,08/03/2020,09/28/2020,10.3,56
538411,9 MEI,04/15/2021,07/26/2021,19.4,102
538412,2 Private,09/05/2018,12/20/2018,54.1,106
538412,3 Inst,02/09/2019,03/29/2019,26.8,48
538412,4 Com Sgl,04/02/2019,06/11/2019,111.0,70
538412,5 Com Mul,01/03/2020,05/30/2020,16.3,148
538413,1 Intro,09/10/2018,09/27/2018,8.8,17
538413,5 Com Mul,10/29/2019,01/20/2020,17.4,83
538414,2 Private,09/05/2018,03/05/2019,82.1,181
538414,3 Inst,03/11/2019,06/13/2019,44.1,94
538414,4 Com Sgl,06/14/2019,11/06/2019,124.4,145
538414,5 Com Mul,11/14/2019,01/08/2020,24.7,55
538414,6 CFI,12/16/2019,02/20/2020,13.4,66
538414,8 CFII,03/17/2020,06/23/2020,8.6,98
